"state","year","NDVI_mean","NDVI_median_min","NDVI_median_max","NDVI_stdDev","EVI_mean","EVI_median_min","EVI_median_max","EVI_stdDev","MVI_mean","MVI_median_min","MVI_median_max","MVI_stdDev","total_pixels","districts_analyzed","AGB_Mg_ha","BGB_Mg_ha","Total_Biomass_Mg_ha","Carbon_Stock_Density_MgC_ha"
"Andaman and Nicobar Islands",2004,0.778909889,0.816406687,0.847759906,0.111925203,0.430735291,0.45120257,0.584049287,0.098422359,11.13714694,3.171898062,8.907663949,14.82377313,659551,3,118.5433078555,58.086220849195,176.629528704695,83.0158784912066
"Dadra and Nagar Haveli and Daman and Diu",2004,0.192275122,0.177468117,0.499561852,0.127078229,0.080652594,0.073210953,0.240376435,0.072594006,10.07186766,2.735673726,3.335865296,7.988560062,8665,2,9.842630437,4.82288891413,14.66551935113,6.8927940950311
"Puducherry",2004,0.45773659,0.458766771,0.458766771,0.17784514,0.268515451,0.252285089,0.252285089,0.124682306,4.223309971,2.513035356,2.513035356,9.568662344,4190,1,68.1740475355,33.405283292395,101.579330827895,47.7422854891106
"Andhra Pradesh",2005,0.532922442,0.221409499,0.699214461,0.181542369,0.332891722,0.091893,0.45900135,0.127720819,8.596859445,3.505511474,5.718655992,18.68408763,502653,5,88.162879681,43.19981104369,131.36269072469,61.7404646406043
"Goa",2005,0.43897323,0.441313257,0.44900369,0.212006112,0.220166675,0.197342707,0.205135213,0.131813662,6.266698555,2.487234858,2.524781312,14.01164878,49848,2,53.1617525875,26.049258767875,79.211011355375,37.2291753370262
"Gujarat",2005,0.201283378,0.115321891,0.307152909,0.130095024,0.107774783,0.049804171,0.164648412,0.069383408,8.116364939,1.231498814,4.465439818,12.14733902,257698,13,18.2640701215,8.949394359535,27.213464481035,12.7903283060865
"Karnataka",2005,0.322605001,0.3242651,0.427665666,0.198329721,0.158577645,0.138658222,0.219631211,0.110411496,6.517768837,1.428285377,6.926287615,23.86605162,34507,3,34.0383587725,16.678795798525,50.717154571025,23.8370626483817
"Kerala",2005,0.454758391,0.41227931,0.661269658,0.154034601,0.228503862,0.153814438,0.374317435,0.109873085,14.25317417,3.463570047,7.516506463,20.08377259,18219,9,55.750449151,27.31772008399,83.06816923499,39.0420395404453
"Maharashtra",2005,0.373867901,0.238313964,0.505976694,0.162696178,0.179790052,0.099623254,0.248024554,0.097732122,4.387445542,1.418350537,4.484037723,10.19285031,394599,7,40.624811146,19.90615746154,60.53096860754,28.4495552455438
"Odisha",2005,0.513706134,0.31431001,0.583878731,0.154556786,0.328933813,0.155405511,0.365279529,0.115774077,6.138631282,2.434951807,6.477115013,14.67870258,242312,5,86.9339489365,42.597634978885,129.531583915385,60.8798444402309
"Tamil Nadu",2005,0.3848674,0.141692665,0.535266949,0.180048676,0.228793543,0.08428767,0.267562226,0.121707977,7.513658744,0.963759065,8.423935262,21.07646191,44645,8,55.8403951015,27.361793599735,83.202188701235,39.1050286895804
"West Bengal",2005,0.58383625,0.360979538,0.634940753,0.122585917,0.332054044,0.209828131,0.36131525,0.079739247,10.84808461,1.72803937,6.975654944,12.53296793,2449196,3,87.902780662,43.07236252438,130.97514318638,61.5583172975986
"Andaman and Nicobar Islands",2005,0.754258605,0.433537048,0.800864184,0.160405312,0.42233226,0.216720065,0.455103054,0.120346638,11.51075036,1.045962054,8.939393908,15.22089137,661286,3,115.93416673,56.8077416977,172.7419084277,81.188696961019
"Dadra and Nagar Haveli and Daman and Diu",2005,0.162621192,0.142600601,0.459019799,0.121123073,0.071260615,0.063414741,0.225412498,0.071205615,9.578176224,2.240490225,2.598149372,7.419854444,8665,2,6.9264209575,3.393946269175,10.320367226675,4.85057259653725
"Puducherry",2005,0.46810496,0.474791743,0.474791743,0.17481926,0.297982253,0.27518227,0.27518227,0.144505671,6.425479392,3.466763376,3.466763376,13.76134061,4190,1,77.3234895565,37.888509882685,115.211999439185,54.1496397364169
"Andhra Pradesh",2006,0.560453846,0.311773138,0.730561567,0.188070468,0.321916976,0.130731499,0.416055222,0.127680236,7.058087954,4.494039428,5.199034629,17.81731209,503803,5,84.755221048,41.53005831352,126.28527936152,59.3540812999144
"Goa",2006,0.454137128,0.47265645,0.480433592,0.213653128,0.225832449,0.20908828,0.224534783,0.132898241,7.107950582,3.441021689,3.522122203,15.75979699,49914,2,54.9209754145,26.911277953105,81.832253367605,38.4611590827743
"Gujarat",2006,0.222514804,0.150534304,0.342803086,0.137240722,0.118506222,0.060331223,0.190089503,0.073065119,11.54550966,1.2089119,9.501545903,14.80669093,267869,13,21.596181931,10.58212914619,32.17831107719,15.1238062062793
"Karnataka",2006,0.326925235,0.339920096,0.511891371,0.228536738,0.161539621,0.142514981,0.244198176,0.122544411,6.468987596,1.429542816,6.891855868,25.88090189,35350,3,34.9580523205,17.129445637045,52.087497957545,24.4811240400462
"Kerala",2006,0.519800795,0.447173703,0.686676303,0.150120106,0.256181417,0.177494531,0.3734144,0.109362015,13.83648146,3.749790519,8.458006121,19.55394608,17237,9,64.3443299785,31.528721689465,95.873051667965,45.0603342839435
"Maharashtra",2006,0.377692434,0.253910058,0.544966705,0.156374085,0.180167173,0.107383526,0.259850949,0.092573553,4.17423939,1.417307356,4.47936791,10.13529056,394599,7,40.7419072165,19.963534536085,60.705441752585,28.531557623715
"Odisha",2006,0.551465204,0.334256306,0.644599105,0.168244331,0.337004177,0.163255317,0.384751501,0.117011476,5.004330234,3.244722947,5.501462564,14.0778991,242312,5,89.4397969585,43.825500509665,133.265297468165,62.6346898100375
"Tamil Nadu",2006,0.434830834,0.270397359,0.574842893,0.187167245,0.251877881,0.137912536,0.294866305,0.125980452,8.99421176,1.064733919,29.51428571,23.07039683,44555,8,63.0080820505,30.873960204745,93.882042255245,44.1245598599652
"West Bengal",2006,0.573693396,0.306324945,0.660295937,0.122487614,0.317002021,0.169177814,0.373050129,0.076595861,12.3725592,2.223536779,6.974351849,14.13253091,2449196,3,83.2291275205,40.782272485045,124.011400005545,58.2853580026061
"Andaman and Nicobar Islands",2006,0.761224622,0.363558023,0.824340276,0.167338142,0.425100605,0.160272806,0.470723541,0.129114985,10.090228,1.099937026,7.107520824,13.8417498,657659,3,116.7937378525,57.228931547725,174.022669400225,81.7906546181057
"Dadra and Nagar Haveli and Daman and Diu",2006,0.197488428,0.189941123,0.51373391,0.130640442,0.080515818,0.077177804,0.251825102,0.075674922,13.62573064,2.858965015,3.753184173,9.168999791,8665,2,9.800161489,4.80207912961,14.60224061861,6.8630530907467
"Puducherry",2006,0.482591837,0.494062989,0.494062989,0.196579825,0.260434632,0.240457465,0.240457465,0.133846846,3.127964778,2.253837302,2.253837302,5.831892968,4190,1,65.664953236,32.17582708564,97.84078032164,45.9851667511708
"Andhra Pradesh",2007,0.5438507,0.342190982,0.691460414,0.159762517,0.344407504,0.161599101,0.455076123,0.117960003,7.389351724,2.928746964,5.005873706,15.31326115,503803,5,91.738529992,44.95187969608,136.69040968808,64.2444925533976
"Goa",2007,0.473952385,0.472805351,0.519481414,0.185325853,0.236509968,0.220732259,0.244103541,0.123984191,5.172612177,2.519742455,2.521084368,10.81504207,49914,2,58.236345064,28.53580908136,86.77215414536,40.7829124483192
"Gujarat",2007,0.237261393,0.165733905,0.400232643,0.141703471,0.130119958,0.068426969,0.215789926,0.08061401,10.02358428,1.235992118,5.469169762,13.58996052,264975,13,25.202246959,12.34910100991,37.55134796891,17.6491335453877
"Karnataka",2007,0.420415433,0.433562945,0.533328575,0.190105021,0.203832589,0.18550102,0.275356862,0.115613173,6.924948867,2.478111331,5.470286547,20.79712241,34530,3,48.0900188845,23.564109253405,71.654128137905,33.6774402248153
"Kerala",2007,0.519566725,0.47080909,0.625250264,0.1404174,0.272759802,0.204822677,0.336964182,0.106077386,13.52808947,3.45305993,6.608496154,20.3817868,18365,9,69.491918521,34.05104007529,103.54295859629,48.6651905402563
"Maharashtra",2007,0.378561977,0.248094708,0.5214764,0.146353408,0.190276165,0.111291141,0.263574064,0.090476483,5.010125946,1.432664685,4.483282305,11.26556804,390225,7,43.8807492325,21.501567123925,65.382316356425,30.7296886875197
"Odisha",2007,0.546082827,0.373678365,0.623099697,0.162771178,0.332864963,0.185403138,0.384846812,0.115026352,5.51831255,3.451245299,5.538230384,17.26855593,242312,5,88.1545710115,43.195739795635,131.350310807135,61.7346460793534
"Tamil Nadu",2007,0.434038342,0.18915248,0.543231963,0.177611445,0.272370407,0.104334899,0.33386313,0.125762194,7.433615655,1.428290802,4.597145429,20.87818267,44576,8,69.3710113735,33.991795573015,103.362806946515,48.580519264862
"West Bengal",2007,0.549880519,0.345583781,0.623030411,0.115332837,0.324871738,0.205666991,0.353495599,0.073137208,22.1120661,2.207404594,8.910911809,23.52035923,2449196,3,85.672674649,41.97961057801,127.65228522701,59.9965740566947
"Andaman and Nicobar Islands",2007,0.722529256,0.426180919,0.777444055,0.169959655,0.409353147,0.206992549,0.443385908,0.13535318,11.30751288,1.207271598,7.083225738,16.63693624,659485,3,111.9041521435,54.833034550315,166.737186693815,78.366477746093
"Dadra and Nagar Haveli and Daman and Diu",2007,0.235534441,0.214692361,0.470879094,0.127261603,0.100175302,0.087851135,0.258890808,0.078589857,14.86201993,3.761177283,4.23950182,11.70904141,8665,2,15.904431271,7.79317132279,23.69760259379,11.1378732190813
"Puducherry",2007,0.475359719,0.479210697,0.479210697,0.172999042,0.283674179,0.26779768,0.26779768,0.128027643,3.65142905,2.242086763,2.242086763,8.25281121,4190,1,72.8808325795,35.711607963955,108.592440543455,51.0384470554239
"Andhra Pradesh",2008,0.589957655,0.372629848,0.730572419,0.172961599,0.364769293,0.16540067,0.466833934,0.130312944,9.693921601,4.514348853,7.030446863,20.74366431,503168,5,98.0608654765,48.049824083485,146.110689559985,68.6720240931929
"Goa",2008,0.509882365,0.527459805,0.535096593,0.184063294,0.256646707,0.252062171,0.255731983,0.124867333,7.663263137,3.441744397,3.518349724,14.78938466,49746,2,64.4888025235,31.599513236515,96.088315760015,45.161508407207
"Gujarat",2008,0.259360284,0.136556587,0.394951089,0.132246783,0.14041906,0.064461977,0.218566656,0.076960777,9.436012456,1.237869452,8.481239275,11.02303038,259795,13,28.40011813,13.9160578837,42.3161760137,19.888602726439
