"state","year","Carbon_Stock_Density_MgC_ha","Inventory_Carbon_Value","Scale_Factor","Spatial_Carbon_Scaled"
"Maharashtra",2016,45.1965317579344,2054057,48751.8144070896,2203412.92810695
"Odisha",2016,66.0715009988378,1495013,21507.5881060841,1421038.62903373
"Tamil Nadu",2016,60.2551557111295,233896.5,3642.14903057592,219458.256960491
"West Bengal",2016,60.0060589268977,13741828.5,224195.796592711,13453106.181505
"Andaman and Nicobar",2016,90.80549862085,6798981,74522.6723680353,6767068.42293769
"Puducherry",2016,61.9681239221208,8625,104.411863978324,6470.20732594843
"Andhra Pradesh",2017,76.7983590720311,857208,14179.0866016969,1088930.58415054
"Goa",2017,57.276849279839,27708,378.700881715393,21690.7933241547
"Gujarat",2017,26.5869789717286,6294436,255625.405374137,6796307.27732178
"Karnataka",2017,47.365710701203,67662,1231.02393462242,58308.3235535824
"Kerala",2017,61.8859158427297,77315,1148.02694499132,71046.6989029187
"Maharashtra",2017,36.5900620816833,2345296,48751.8144070896,1783831.91575011
"Odisha",2017,68.6056465274513,1520819,21507.5881060841,1475541.98726402
"Tamil Nadu",2017,55.0596258376916,225835,3642.14903057592,200535.362868621
"West Bengal",2017,62.0232775073456,13767619,224195.796592711,13905358.1080501
"Andaman and Nicobar",2017,93.5238852525605,6802362,74522.6723680353,6969649.8592623
"Puducherry",2017,68.8426084618111,6900,104.411863978324,7187.98507062766
"Andhra Pradesh",2018,77.5709943808474,857679.24,14179.0866016969,1099885.84710578
"Goa",2018,58.2197962835633,27708,378.700881715393,22047.888185876
"Gujarat",2018,26.9186443560942,6482296.32,255625.405374137,6881089.37564881
"Karnataka",2018,49.6151139900052,68254.235,1231.02393462242,61077.3928407163
"Kerala",2018,63.6003313553273,76392.995,1148.02694499132,73014.8941062918
"Maharashtra",2018,42.7826209842271,2400044.55,48751.8144070896,2085730.3980719
"Odisha",2018,71.3335556470298,1535566.745,21507.5881060841,1534212.73299875
"Tamil Nadu",2018,58.1924447620543,226253.55,3642.14903057592,211945.556276959
"West Bengal",2018,64.8118547878762,13757554.06,224195.796592711,14530545.412819
"Andaman and Nicobar",2018,90.9809619788679,6797785.21,74522.6723680353,6780144.42127985
"Puducherry",2018,70.1804876739386,6279,104.411863978324,7327.67553294375
"Andhra Pradesh",2019,79.3099827089402,894054.48,14179.0866016969,1124543.11320915
"Goa",2019,58.0659811306732,27708,378.700881715393,21989.6382518553
"Gujarat",2019,25.9679274562909,6670156.64,255625.405374137,6638061.98274055
"Karnataka",2019,52.2944969741276,68846.47,1231.02393462242,64375.777424191
"Kerala",2019,62.8242228270761,75470.99,1148.02694499132,72123.9006036219
"Maharashtra",2019,39.0306631322804,2454793.1,48751.8144070896,1902815.64521057
"Odisha",2019,70.7044152043185,1550314.49,21507.5881060841,1520681.43949603
"Tamil Nadu",2019,46.5773794760471,226672.1,3642.14903057592,169641.757505452
"West Bengal",2019,63.3107564415073,13747489.12,224195.796592711,14194005.4732908
"Andaman and Nicobar",2019,92.6111067463536,6793208.42,74522.6723680353,6901627.16569966
"Puducherry",2019,72.4615696029349,5658,104.411863978324,7565.84754903752
"Andhra Pradesh",2020,87.2235465212993,868203.6,14179.0866016969,1236750.21983264
"Goa",2020,60.9039825868693,26484.23,378.700881715393,23064.3919056263
"Gujarat",2020,32.3646863512271,6604925.65,255625.405374137,8273236.06833923
"Karnataka",2020,55.3749847253524,73224.99,1231.02393462242,68167.9315762599
"Kerala",2020,66.1369585626118,77216.3,1148.02694499132,75927.0104896525
"Maharashtra",2020,48.3316744972411,2392221.46,48751.8144070896,2356256.82507337
"Odisha",2020,73.2049714197788,1567864.405,21507.5881060841,1574462.37261426
"Tamil Nadu",2020,53.5802257083749,216916.64,3642.14903057592,195147.167121796
"West Bengal",2020,65.0575385844256,13748294.5,224195.796592711,14585626.6872963
"Andaman and Nicobar",2020,89.4401493806966,6611986.63,74522.6723680353,6665318.94884579
"Puducherry",2020,79.3615078203211,8987.25,104.411863978324,8286.28295965009
"Andhra Pradesh",2021,81.7723021988026,878256.72,14179.0866016969,1159456.55449695
"Goa",2021,59.7925088790553,25260.46,378.700881715393,22643.4758324737
"Gujarat",2021,31.7734412483683,6539694.66,255625.405374137,8122098.79924548
"Karnataka",2021,55.2100534437479,77603.51,1231.02393462242,67964.8972210368
"Kerala",2021,69.4534649798116,78961.61,1148.02694499132,79734.4492198345
"Maharashtra",2021,43.4751711111257,2329649.82,48751.8144070896,2119493.47332606
"Odisha",2021,72.7346105745152,1585414.32,21507.5881060841,1564346.0452931
"Tamil Nadu",2021,50.622852529135,207161.18,3642.14903057592,184375.973263977
"West Bengal",2021,59.1969196969457,13749099.88,224195.796592711,13271700.5672915
"Andaman and Nicobar",2021,92.1152293823238,6430764.84,74522.6723680353,6864673.05936534
"Puducherry",2021,81.3229831097213,12316.5,104.411863978324,8491.08425076379
"Andhra Pradesh",2022,87.349989278138,904825.68,14179.0866016969,1238543.06263201
"Goa",2022,59.226973601923,30155.54,378.700881715393,22429.3071243825
"Gujarat",2022,33.8287206429059,6494798.59,255625.405374137,8647480.42763126
"Karnataka",2022,58.9803243577876,87376.16,1231.02393462242,72606.1909562305
"Kerala",2022,66.9894646543997,79064.72,1148.02694499132,76905.7104537942
"Maharashtra",2022,45.8854386248548,2377886.58,48751.8144070896,2236998.38782682
"Odisha",2022,83.4799932819865,1588863.845,21507.5881060841,1795453.31060764
"Tamil Nadu",2022,53.3915657255836,207349.115,3642.14903057592,194460.039348365
"West Bengal",2022,70.5157706599907,13748713.15,224195.796592711,15809339.3754655
"Andaman and Nicobar",2022,96.7588211336851,6580725.88,74522.6723680353,7210725.92606295
"Puducherry",2022,84.3848194573117,12627,104.411863978324,8810.77629101229
"Andhra Pradesh",2023,85.2995023306264,931394.64,14179.0866016969,1209469.0306276
"Goa",2023,60.1380969308722,35050.62,378.700881715393,22774.3503324071
"Gujarat",2023,32.5430760591577,6449902.52,255625.405374137,8318837.00974356
"Karnataka",2023,57.3222866353493,97148.81,1231.02393462242,70565.1068354021
"Kerala",2023,70.163268133447,79167.83,1148.02694499132,80549.3223658477
"Maharashtra",2023,41.2934485248631,2426123.34,48751.8144070896,2013130.53871283
"Odisha",2023,72.2184211935145,1592313.37,21507.5881060841,1553244.05670181
"Tamil Nadu",2023,58.0100471419829,207537.05,3642.14903057592,211281.236961836
"West Bengal",2023,64.6797482893094,13748326.42,224195.796592711,14500927.6911377
"Andaman and Nicobar",2023,96.2329957594921,6730686.92,74522.6723680353,7171540.01397916
"Puducherry",2023,83.4012806012317,12937.5,104.411863978324,8708.08316575387
"Andhra Pradesh",2024,86.2604899401767,964351.502681882,14179.0866016969,1223094.95716657
"Goa",2024,62.3360855694137,37269.0352879758,378.700881715393,23606.7305678231
"Gujarat",2024,32.9916438821557,6439693.62342833,255625.405374137,8433502.34133522
"Karnataka",2024,62.3510067358099,104079.32887521,1231.02393462242,76755.5816395859
"Kerala",2024,71.9439655368002,78257.0718232704,1148.02694499132,82593.6109657733
"Maharashtra",2024,48.4898011129094,2468103.98041943,48751.8144070896,2363965.78449325
"Odisha",2024,74.6911538183872,1595762.895,21507.5881060841,1606426.57149405
"Tamil Nadu",2024,63.5802080790106,208756.760187526,3642.14903057592,231568.593218784
"West Bengal",2024,66.1338499953394,13766431.2086404,224195.796592711,14826931.1814479
"Andaman and Nicobar",2024,96.3971214142258,6736961.21223704,74522.6723680353,7183771.09637407
"Puducherry",2024,83.2271369056912,12937.5,104.411863978324,8689.90049790241
"Andhra Pradesh",2025,89.7851692535626,964351.502681882,14179.0866016969,1273071.69039428
"Goa",2025,60.049601700242,37928.3185096574,378.700881715393,22740.8371105398
"Gujarat",2025,32.5441134804263,6453128.64439277,255625.405374137,8319102.20097589
"Karnataka",2025,63.2963782306567,109808.596767065,1231.02393462242,77919.3565768521
"Kerala",2025,74.8978718024566,76825.3083986557,1148.02694499132,85984.7749517255
"Maharashtra",2025,48.2388758492293,2506737.90959781,48751.8144070896,2351732.72260827
"Odisha",2025,76.0987611777547,1599212.42,21507.5881060841,1636700.81079441
"Tamil Nadu",2025,65.9136940246,211148.275968283,3642.14903057592,240067.496793375
"West Bengal",2025,69.7351769318845,13803952.331827,224195.796592711,15634333.5427775
"Andaman and Nicobar",2025,98.0263905381465,6673056.5977823,74522.6723680353,7305188.58549537
"Puducherry",2025,87.9501749909954,12937.5,104.411863978324,9183.04170802964
