"","Index","state","year","Value","lower80","upper80","lower95","upper95"
"126","EVI","WEST BENGAL",2030,0.369692220945477,0.346444243918336,0.392940197972617,0.334137508274007,0.405246933616946
"127","EVI","ANDAMAN & NICOBAR",2025,0.499767183,0.499767183,0.499767183,0.499767183,0.499767183
"128","EVI","ANDAMAN & NICOBAR",2026,0.499767183,0.48092062226284,0.51861374373716,0.47094385565961,0.52859051034039
"129","EVI","ANDAMAN & NICOBAR",2027,0.499767183,0.47311412120142,0.52642024479858,0.459004842562502,0.540529523437498
"130","EVI","ANDAMAN & NICOBAR",2028,0.499767183,0.467123982255306,0.532410383744694,0.449843715603256,0.549690650396744
"131","EVI","ANDAMAN & NICOBAR",2029,0.499767183,0.46207406152568,0.53746030447432,0.442120528319221,0.557413837680779
"132","EVI","ANDAMAN & NICOBAR",2030,0.499767183,0.457624992049631,0.541909373950369,0.435316263729161,0.564218102270839
"133","EVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2025,0.197714243,0.197714243,0.197714243,0.197714243,0.197714243
"134","EVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2026,0.205642274326921,0.190525006442352,0.22075954221149,0.182522408224765,0.228762140429077
"135","EVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2027,0.211716723588172,0.196259339364863,0.227174107811482,0.188076694433349,0.235356752742996
"136","EVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2028,0.217791172849424,0.202000996607209,0.233581349091638,0.193642182222481,0.241940163476366
"137","EVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2029,0.223865622110675,0.207749524428749,0.239981719792601,0.199218177655733,0.248513066565617
"138","EVI","DADRA & NAGAR HAVELI & DAMAN & DIU",2030,0.229940071371926,0.213504514088203,0.24637562865565,0.204804055617263,0.25507608712659
"139","EVI","PUDUCHERRY",2025,0.453427643,0.453427643,0.453427643,0.453427643,0.453427643
"140","EVI","PUDUCHERRY",2026,0.455761504756893,0.428072553755312,0.483450455758474,0.413414908496655,0.498108101017131
"141","EVI","PUDUCHERRY",2027,0.462639409315652,0.430833773136526,0.494445045494778,0.413996886382928,0.511281932248376
"142","EVI","PUDUCHERRY",2028,0.469517313874411,0.434069902432249,0.504964725316573,0.415305176306395,0.523729451442428
"143","EVI","PUDUCHERRY",2029,0.476395218433171,0.437646806038069,0.515143630828273,0.417134635562881,0.53565580130346
"144","EVI","PUDUCHERRY",2030,0.48327312299193,0.441483651251647,0.525062594732213,0.419361641202196,0.547184604781664
"145","MVI","ANDHRA PRADESH",2025,16.11059197,16.11059197,16.11059197,16.11059197,16.11059197
"146","MVI","ANDHRA PRADESH",2026,16.11059197,11.1647105050165,21.0564734349835,8.54651901047577,23.6746649295242
"147","MVI","ANDHRA PRADESH",2027,16.11059197,9.11605932433062,23.1051246156694,5.41337740386123,26.8078065361388
